optimizer,lr,seed,epoch,val_loss,val_top1,val_top5
muon_moonlight,0.005,43,17,0.221700,93.0300,99.8000
muon_moonlight,0.005,43,18,0.219900,93.2700,99.8000
muon_moonlight,0.005,43,19,0.215900,93.4100,99.8500
muon_moonlight,0.005,43,20,0.214300,93.4700,99.8700
muon_moonlight,0.005,43,21,0.211200,93.5700,99.8800
muon_moonlight,0.005,43,22,0.211300,93.4700,99.8800
muon_moonlight,0.005,43,23,0.210500,93.5600,99.8900
muon_moonlight,0.005,44,0,0.959300,66.9900,97.5200
muon_moonlight,0.005,44,1,0.717000,74.9900,98.3100
muon_moonlight,0.005,44,2,0.528100,81.8200,99.0500
muon_moonlight,0.005,44,3,0.493400,83.5300,99.0400
muon_moonlight,0.005,44,4,0.390900,86.7600,99.5100
muon_moonlight,0.005,44,5,0.361900,87.6900,99.5200
muon_moonlight,0.005,44,6,0.337100,88.8100,99.5300
muon_moonlight,0.005,44,7,0.322600,89.0900,99.6300
muon_moonlight,0.005,44,8,0.290800,90.2800,99.7000
muon_moonlight,0.005,44,9,0.261300,91.3100,99.7400
muon_moonlight,0.005,44,10,0.288900,90.4400,99.8000
muon_moonlight,0.005,44,11,0.288200,90.7800,99.7300
muon_moonlight,0.005,44,12,0.254700,91.6000,99.7800
muon_moonlight,0.005,44,13,0.245500,92.1000,99.8200
muon_moonlight,0.005,44,14,0.243000,92.4800,99.7300
muon_moonlight,0.005,44,15,0.232500,92.8000,99.8000
muon_moonlight,0.005,44,16,0.238900,92.7500,99.8000
muon_moonlight,0.005,44,17,0.218400,93.2400,99.8800
muon_moonlight,0.005,44,18,0.217600,93.1900,99.8500
muon_moonlight,0.005,44,19,0.217100,93.4300,99.8700
muon_moonlight,0.005,44,20,0.214900,93.6300,99.8600
muon_moonlight,0.005,44,21,0.213900,93.6200,99.8600
muon_moonlight,0.005,44,22,0.213600,93.6000,99.8800
muon_moonlight,0.005,44,23,0.213100,93.6800,99.8800
muon_moonlight,0.01,42,0,0.898600,69.3400,97.2700
muon_moonlight,0.01,42,1,0.672900,77.3400,98.1600
muon_moonlight,0.01,42,2,0.592500,79.4900,98.7400
muon_moonlight,0.01,42,3,0.438500,85.0700,99.3700
muon_moonlight,0.01,42,4,0.414400,85.9700,99.4900
muon_moonlight,0.01,42,5,0.365200,87.6400,99.6300
muon_moonlight,0.01,42,6,0.304100,89.6000,99.7000
muon_moonlight,0.01,42,7,0.297800,89.9500,99.7700
muon_moonlight,0.01,42,8,0.300000,90.1300,99.7800
muon_moonlight,0.01,42,9,0.264500,91.1700,99.7400
muon_moonlight,0.01,42,10,0.270700,91.0900,99.7200
muon_moonlight,0.01,42,11,0.268100,91.1200,99.7400
muon_moonlight,0.01,42,12,0.257700,91.6700,99.7600
muon_moonlight,0.01,42,13,0.261800,91.7700,99.7700
muon_moonlight,0.01,42,14,0.252200,91.8400,99.8400
muon_moonlight,0.01,42,15,0.223000,92.8300,99.8200
muon_moonlight,0.01,42,16,0.226200,93.3200,99.8300
muon_moonlight,0.01,42,17,0.233900,93.1300,99.8400
muon_moonlight,0.01,42,18,0.221500,93.3700,99.9000
muon_moonlight,0.01,42,19,0.221600,93.4500,99.8200
muon_moonlight,0.01,42,20,0.213700,93.5900,99.8700
muon_moonlight,0.01,42,21,0.214500,93.5600,99.8700
muon_moonlight,0.01,42,22,0.213000,93.6000,99.8800
muon_moonlight,0.01,42,23,0.212800,93.5600,99.8700
muon_moonlight,0.01,43,0,0.872600,69.0700,97.7200
muon_moonlight,0.01,43,1,0.653300,78.1400,98.3100
muon_moonlight,0.01,43,2,0.466400,84.1000,99.2400
muon_moonlight,0.01,43,3,0.422200,85.5900,99.4600
muon_moonlight,0.01,43,4,0.457900,84.4100,99.2200
muon_moonlight,0.01,43,5,0.334300,88.5100,99.6200
muon_moonlight,0.01,43,6,0.354800,87.7500,99.5700
muon_moonlight,0.01,43,7,0.303100,89.7500,99.7000
muon_moonlight,0.01,43,8,0.281400,90.6300,99.6700
muon_moonlight,0.01,43,9,0.268100,91.0500,99.7600
muon_moonlight,0.01,43,10,0.261400,91.2900,99.8400
muon_moonlight,0.01,43,11,0.248700,91.5900,99.7900
muon_moonlight,0.01,43,12,0.253500,91.6700,99.8500
muon_moonlight,0.01,43,13,0.235900,92.4600,99.8300
muon_moonlight,0.01,43,14,0.253900,92.2300,99.7900
muon_moonlight,0.01,43,15,0.232300,92.6900,99.8400
muon_moonlight,0.01,43,16,0.229500,92.8600,99.8600
muon_moonlight,0.01,43,17,0.229300,92.9300,99.8700
muon_moonlight,0.01,43,18,0.224700,93.2400,99.8500
muon_moonlight,0.01,43,19,0.212300,93.5300,99.8600
muon_moonlight,0.01,43,20,0.212200,93.6500,99.8800
muon_moonlight,0.01,43,21,0.207700,93.8000,99.8500
muon_moonlight,0.01,43,22,0.207800,93.7600,99.8700
muon_moonlight,0.01,43,23,0.207200,93.7500,99.8600
muon_moonlight,0.01,44,0,0.913800,68.5100,96.3400
muon_moonlight,0.01,44,1,0.802700,72.3300,97.6900
muon_moonlight,0.01,44,2,0.629000,78.8800,98.5800
muon_moonlight,0.01,44,3,0.474700,84.2700,99.3600
muon_moonlight,0.01,44,4,0.409600,85.8800,99.3900
muon_moonlight,0.01,44,5,0.362400,87.4100,99.5800
muon_moonlight,0.01,44,6,0.364200,87.5800,99.5300
muon_moonlight,0.01,44,7,0.318200,89.3800,99.5800
muon_moonlight,0.01,44,8,0.286500,90.2200,99.7500
muon_moonlight,0.01,44,9,0.270500,91.2400,99.7500
muon_moonlight,0.01,44,10,0.295100,90.2400,99.8400
muon_moonlight,0.01,44,11,0.261900,91.3600,99.7400
muon_moonlight,0.01,44,12,0.258200,91.5500,99.8100
muon_moonlight,0.01,44,13,0.250100,91.9000,99.8100
muon_moonlight,0.01,44,14,0.224500,92.8200,99.7700
muon_moonlight,0.01,44,15,0.227600,92.9000,99.8400
muon_moonlight,0.01,44,16,0.224000,93.0000,99.8500
muon_moonlight,0.01,44,17,0.217000,93.4400,99.8400
muon_moonlight,0.01,44,18,0.215400,93.3800,99.8000
muon_moonlight,0.01,44,19,0.211800,93.6400,99.8700
muon_moonlight,0.01,44,20,0.208400,93.7800,99.8700
muon_moonlight,0.01,44,21,0.206500,93.9300,99.8800
muon_moonlight,0.01,44,22,0.206400,93.8800,99.8700
muon_moonlight,0.01,44,23,0.205800,93.9300,99.8800
muon_moonlight,0.02,42,0,1.134300,63.8800,95.5400
muon_moonlight,0.02,42,1,0.755200,74.4000,98.4000
muon_moonlight,0.02,42,2,0.588500,79.8500,99.1100
muon_moonlight,0.02,42,3,0.447500,84.8800,99.2800
muon_moonlight,0.02,42,4,0.409300,85.9600,99.3600
muon_moonlight,0.02,42,5,0.345700,88.3000,99.5600
muon_moonlight,0.02,42,6,0.316600,88.8300,99.7100
muon_moonlight,0.02,42,7,0.288900,90.1700,99.7200
muon_moonlight,0.02,42,8,0.323500,89.2200,99.6900
muon_moonlight,0.02,42,9,0.260400,91.1800,99.7900
muon_moonlight,0.02,42,10,0.268000,91.1100,99.7200
muon_moonlight,0.02,42,11,0.246900,91.8600,99.8500
muon_moonlight,0.02,42,12,0.250100,92.2000,99.8200
muon_moonlight,0.02,42,13,0.278700,91.3500,99.7600
muon_moonlight,0.02,42,14,0.246400,92.3100,99.8100
muon_moonlight,0.02,42,15,0.232500,92.9200,99.8300
muon_moonlight,0.02,42,16,0.224700,93.2500,99.8300
muon_moonlight,0.02,42,17,0.226100,93.0800,99.8100
muon_moonlight,0.02,42,18,0.221400,93.4100,99.8700
muon_moonlight,0.02,42,19,0.218900,93.6800,99.8500
muon_moonlight,0.02,42,20,0.212000,93.7800,99.8600
muon_moonlight,0.02,42,21,0.211900,93.7300,99.8800
muon_moonlight,0.02,42,22,0.210800,93.7500,99.8800
muon_moonlight,0.02,42,23,0.210800,93.7400,99.8800
muon_moonlight,0.02,43,0,0.876400,69.5900,97.5000
muon_moonlight,0.02,43,1,0.610600,79.3600,98.6100
muon_moonlight,0.02,43,2,0.469900,84.3500,99.2000
muon_moonlight,0.02,43,3,0.439400,85.1700,99.3600
muon_moonlight,0.02,43,4,0.448700,84.5700,99.3500
muon_moonlight,0.02,43,5,0.346500,88.2200,99.6600
muon_moonlight,0.02,43,6,0.350800,88.2800,99.6900
muon_moonlight,0.02,43,7,0.302200,89.3800,99.7100
muon_moonlight,0.02,43,8,0.315500,89.5100,99.6400
muon_moonlight,0.02,43,9,0.288500,90.0100,99.7400
muon_moonlight,0.02,43,10,0.272500,90.7700,99.7600
muon_moonlight,0.02,43,11,0.256800,91.5600,99.7300
muon_moonlight,0.02,43,12,0.268200,91.4900,99.6700
muon_moonlight,0.02,43,13,0.246400,92.1400,99.8400
muon_moonlight,0.02,43,14,0.237800,92.6200,99.7800
muon_moonlight,0.02,43,15,0.243300,92.3500,99.8400
muon_moonlight,0.02,43,16,0.254200,91.9800,99.8300
muon_moonlight,0.02,43,17,0.231200,92.8400,99.8200
muon_moonlight,0.02,43,18,0.231200,92.9800,99.8000
muon_moonlight,0.02,43,19,0.222900,93.1300,99.8500
muon_moonlight,0.02,43,20,0.222700,93.0900,99.8500
muon_moonlight,0.02,43,21,0.222200,93.2400,99.8500
muon_moonlight,0.02,43,22,0.221600,93.2400,99.8400
muon_moonlight,0.02,43,23,0.220800,93.1800,99.8500
muon_moonlight,0.02,44,0,0.878700,69.9600,96.8300
muon_moonlight,0.02,44,1,0.886800,69.7700,97.2500
muon_moonlight,0.02,44,2,0.503300,82.9100,99.2400
muon_moonlight,0.02,44,3,0.516500,82.7000,98.8700
muon_moonlight,0.02,44,4,0.402200,85.8800,99.5500
muon_moonlight,0.02,44,5,0.364500,87.3500,99.4800
muon_moonlight,0.02,44,6,0.336400,88.5600,99.5700
muon_moonlight,0.02,44,7,0.333100,88.6300,99.6000
muon_moonlight,0.02,44,8,0.285100,90.3000,99.6700
muon_moonlight,0.02,44,9,0.272900,90.7800,99.6700
muon_moonlight,0.02,44,10,0.276400,91.2600,99.8400
muon_moonlight,0.02,44,11,0.265800,91.4000,99.7400
muon_moonlight,0.02,44,12,0.235600,92.2200,99.8300
